from,fromType,to,toType
11th brigade commander colonel ivan ramirez quintero,0,ivan ramirez quintero,1
1st infantry brigade commander francisco elena fuentes,0,francisco elena fuentes,1
3 february president cerezo,0,cerezo,1
3d brigade commander colonel mauricio vargas,0,mauricio vargas,1
3d infantry brigade commander colonel mauricio ernesto vargas,0,mauricio ernesto vargas,1
abdiel adames,1,abdiel,2
abdiel adames,1,adames,2
abelardo mata,1,abelardo,2
abelardo mata,1,mata,2
abilio diniz,1,abilio,2
abilio diniz,1,diniz,2
abimael guzman,1,abimael,2
abimael guzman,1,guzman,2
abraham lincoln,1,abraham,2
abraham lincoln,1,lincoln,2
acalardo jara soto,1,acalardo,2
acalardo jara soto,1,jara,2
acalardo jara soto,1,soto,2
adalino barberi,1,adalino,2
adalino barberi,1,barberi,2
adan solorzano martinez,1,adan,2
adan solorzano martinez,1,martinez,2
adan solorzano martinez,1,solorzano,2
admiral armando lambruschini,0,armando lambruschini,1
admiral jose toribio merino,0,jose toribio merino,1
admiral jose toribio merino castro,0,jose toribio merino castro,1
aeu secretary general oliverio castaneda,0,oliverio castaneda,1
aflredo cristiani,1,aflredo,2
aflredo cristiani,1,cristiani,2
afp special correspondent arturo gudino,0,arturo gudino,1
agent eric felix pacherri,0,eric felix pacherri,1
agent huila sibda aquino,0,huila sibda aquino,1
agriculture minister jaime de la sotta,0,jaime de la sotta,1
agustin mantilla,1,agustin,2
agustin mantilla,1,mantilla,2
agustin matilla,1,agustin,2
agustin matilla,1,matilla,2
ahmad mustafa,1,ahmad,2
ahmad mustafa,1,mustafa,2
alan garcia,1,alan,2
alan garcia,1,garcia,2
alberto andino benitez,1,alberto,2
alberto andino benitez,1,andino,2
alberto andino benitez,1,benitez,2
alberto leyva duran,1,alberto,2
alberto leyva duran,1,duran,2
alberto leyva duran,1,leyva,2
alberto marin ramos,1,alberto,2
alberto marin ramos,1,marin,2
alberto marin ramos,1,ramos,2
alejandro gramajo,1,alejandro,2
alejandro gramajo,1,gramajo,2
alejandro sanchez,1,alejandro,2
alejandro sanchez,1,sanchez,2
alexander molina granados,1,alexander,2
alexander molina granados,1,granados,2
alexander molina granados,1,molina,2
"alfaro aguinada, also known as ""luis""",0,luis,1
alfonso cabrera,1,alfonso,2
alfonso cabrera,1,cabrera,2
alfonso cano,1,alfonso,2
alfonso cano,1,cano,2
alfonso chavez garcia,1,alfonso,2
alfonso chavez garcia,1,chavez,2
alfonso chavez garcia,1,garcia,2
alfonso cristian,1,alfonso,2
alfonso cristian,1,cristian,2
alfonso gomez mendez,1,alfonso,2
alfonso gomez mendez,1,gomez,2
alfonso gomez mendez,1,mendez,2
alfonso lopez michelsen,1,alfonso,2
alfonso lopez michelsen,1,lopez,2
alfonso lopez michelsen,1,michelsen,2
alfonso lopez trujillo,1,alfonso,2
alfonso lopez trujillo,1,lopez,2
alfonso lopez trujillo,1,trujillo,2
alfonso olivares,1,alfonso,2
alfonso olivares,1,olivares,2
"alfonso olivares, alias pico fresco",0,alfonso olivares,1
"alfonso olivares, alias pico fresco",0,pico fresco,1
alfonso vaca perilla,1,alfonso,2
alfonso vaca perilla,1,perilla,2
alfonso vaca perilla,1,vaca,2
alfredo chamorro,1,alfredo,2
alfredo chamorro,1,chamorro,2
alfredo cristiani,1,alfredo,2
alfredo cristiani,1,cristiani,2
alfredo cristiano,1,alfredo,2
alfredo cristiano,1,cristiano,2
alfredo felex cristiani,1,alfredo,2
alfredo felex cristiani,1,cristiani,2
alfredo felex cristiani,1,felex,2
alfredo gutierrez,1,alfredo,2
alfredo gutierrez,1,gutierrez,2
alfredo jimenez,1,alfredo,2
alfredo jimenez,1,jimenez,2
alfredo maza marquez,1,alfredo,2
alfredo maza marquez,1,marquez,2
alfredo maza marquez,1,maza,2
alfredo nunez allende,1,alfredo,2
alfredo nunez allende,1,allende,2
alfredo nunez allende,1,nunez,2
alipio arcela madrid,1,alipio,2
alipio arcela madrid,1,arcela,2
alipio arcela madrid,1,madrid,2
alleged drug trafficker elena beatriz zuniga,0,elena beatriz zuniga,1
alonso chavez garcia,1,alonso,2
alonso chavez garcia,1,chavez,2
alonso chavez garcia,1,garcia,2
alvaro ayala,1,alvaro,2
alvaro ayala,1,ayala,2
alvaro contreras velez,1,alvaro,2
alvaro contreras velez,1,contreras,2
alvaro contreras velez,1,velez,2
alvaro gomez,1,alvaro,2
alvaro gomez,1,gomez,2
alvaro gomez hurtado,1,alvaro,2
alvaro gomez hurtado,1,gomez,2
alvaro gomez hurtado,1,hurtado,2
alvaro leyva,1,alvaro,2
alvaro leyva,1,leyva,2
alvaro sanabria,1,alvaro,2
alvaro sanabria,1,sanabria,2
alvaro saravia,1,alvaro,2
alvaro saravia,1,saravia,2
alvaro tovar tovar,1,alvaro,2
alvaro tovar tovar,1,tovar,2
amando lopez,1,amando,2
amando lopez,1,lopez,2
amaya alvarez,1,alvarez,2
amaya alvarez,1,amaya,2
ambassador brugues,0,brugues,1
ambassador fernandez,0,fernandez,1
ambassador francisco cadiz,0,francisco cadiz,1
ambassador jesus fernandez,0,jesus fernandez,1
ambassador shen,0,shen,1
ambassador strook,0,strook,1
ambassador thomas,0,thomas,1
ambassador walker,0,walker,1
ambassador william walker,0,william walker,1
american julio chagy de la rosa,0,julio chagy de la rosa,1
americans evans lockwood,0,evans lockwood,1
americans kurt schreffer,0,kurt schreffer,1
"an unidentified commander known as ""ernesto,""",0,ernesto,1
ana guadalupe martinez,1,ana,2
ana guadalupe martinez,1,guadalupe,2
ana guadalupe martinez,1,martinez,2
ana maria,1,ana,2
ana maria,1,maria,2
analyst marina petrovskaya,0,marina petrovskaya,1
andres pastrana,1,andres,2
andres pastrana,1,pastrana,2
andres pastrana arango,1,andres,2
andres pastrana arango,1,arango,2
andres pastrana arango,1,pastrana,2
andres restrepo,1,andres,2
andres restrepo,1,restrepo,2
andres restrepo londono,1,andres,2
andres restrepo londono,1,londono,2
andres restrepo londono,1,restrepo,2
andres vallejo,1,andres,2
andres vallejo,1,vallejo,2
andres zaldivar,1,andres,2
andres zaldivar,1,zaldivar,2
angel perez vasquez,1,angel,2
angel perez vasquez,1,perez,2
angel perez vasquez,1,vasquez,2
angel vargas samara,1,angel,2
angel vargas samara,1,samara,2
angel vargas samara,1,vargas,2
another fmln leader shafick handal,0,shafick handal,1
anthropologist abimael guzman,0,abimael guzman,1
antigua and barbuda's finance minister john st. luce,0,john st. luce,1
antioquia department governor antonio roldan betancur,0,antonio roldan betancur,1
antioquia governor antonio roldan,0,antonio roldan,1
antioquia governor antonio roldan betancur,0,antonio roldan betancur,1
antioquia governor elena montoya,0,elena montoya,1
antioquia police chief colonel waldemar franklin quintero,0,waldemar franklin quintero,1
antioquia police department chief waldemar franklin quintero,0,waldemar franklin quintero,1
antonio caffiero,1,antonio,2
antonio caffiero,1,caffiero,2
antonio cafiero,1,antonio,2
antonio cafiero,1,cafiero,2
antonio castillo claramount,1,antonio,2
antonio castillo claramount,1,castillo,2
antonio castillo claramount,1,claramount,2
antonio contreras navarro,1,antonio,2
antonio contreras navarro,1,contreras,2
antonio contreras navarro,1,navarro,2
antonio mejia sanchez,1,antonio,2
antonio mejia sanchez,1,mejia,2
antonio mejia sanchez,1,sanchez,2
antonio ramiro avalos vargas,1,antonio,2
antonio ramiro avalos vargas,1,avalos,2
antonio ramiro avalos vargas,1,ramiro,2
antonio ramiro avalos vargas,1,vargas,2
antonio regalado,1,antonio,2
antonio regalado,1,regalado,2
antonio rodriguez porth,1,antonio,2
antonio rodriguez porth,1,porth,2
antonio rodriguez porth,1,rodriguez,2
antonio roldan,1,antonio,2
antonio roldan,1,roldan,2
antonio roldan betancur,1,antonio,2
antonio roldan betancur,1,betancur,2
antonio roldan betancur,1,roldan,2
antonio sanchez,1,antonio,2
antonio sanchez,1,sanchez,2
antonio suarez,1,antonio,2
antonio suarez,1,suarez,2
apartado mayor diana cordoba saldarriaga,0,diana cordoba saldarriaga,1
arboledas mayor pedro jesus hernandez,0,pedro jesus hernandez,1
archbishop arturo rivera,0,arturo rivera,1
archbishop arturo rivera y damas,0,arturo rivera y damas,1
archbishop mcgrath states,0,mcgrath,1
archbishop oscar arnulfo romero,0,oscar arnulfo romero,1
archbishop rivera y damas,0,rivera y damas,1
archbishop romero,0,romero,1
archbishop santos,0,santos,1
arena leader roberto,0,roberto,1
argentina's president carlos menem,0,carlos menem,1
argentine foreign minister domingo cavallo,0,domingo cavallo,1
argentine president carlos menem,0,carlos menem,1
ariel irias rivera,1,ariel,2
ariel irias rivera,1,irias,2
ariel irias rivera,1,rivera,2
ariel rivera irias,1,ariel,2
ariel rivera irias,1,irias,2
ariel rivera irias,1,rivera,2
armando lambruschini,1,armando,2
armando lambruschini,1,lambruschini,2
armando santagorda,1,armando,2
armando santagorda,1,santagorda,2
armando villanueva,1,armando,2
armando villanueva,1,villanueva,2
armando villanueva del campo,1,armando,2
armando villanueva del campo,1,campo,2
armando villanueva del campo,1,villanueva,2
armansio quispe,1,armansio,2
armansio quispe,1,quispe,2
army general jaime ruiz barrera,0,jaime ruiz barrera,1
army lieutenant roberto zegers reed,0,roberto zegers reed,1
army spokesman colonel luis arturo isaacs,0,luis arturo isaacs,1
army spokesman colonel raul arturo lopez,0,raul arturo lopez,1
army spokesman major mauricio chavez caceres,0,mauricio chavez caceres,1
arnulfo cantarero,1,arnulfo,2
arnulfo cantarero,1,cantarero,2
arnulfo romero,1,arnulfo,2
arnulfo romero,1,romero,2
arturo bernal,1,arturo,2
arturo bernal,1,bernal,2
arturo gudino,1,arturo,2
arturo gudino,1,gudino,2
arturo rivera,1,arturo,2
arturo rivera,1,rivera,2
