n1,n2,score
1st infantry brigade commander francisco elena fuentes,col elena fuentes,0.27
1st infantry brigade commander francisco elena fuentes,colonel elena fuente,0.06
1st infantry brigade commander francisco elena fuentes,colonel elena fuentes,0.27
1st infantry brigade commander francisco elena fuentes,colonel francisco elena fuentes,1.00
3 february president cerezo,president cerezo,1.00
3d brigade commander colonel mauricio vargas,3d infantry brigade commander colonel mauricio ernesto vargas,0.09
3d brigade commander colonel mauricio vargas,col mauricio vargas,1.00
3d brigade commander colonel mauricio vargas,colonel mauricio ernesto vargas,0.09
3d brigade commander colonel mauricio vargas,colonel mauricio vargas,1.00
3d infantry brigade commander colonel mauricio ernesto vargas,3d brigade commander colonel mauricio vargas,0.08
3d infantry brigade commander colonel mauricio ernesto vargas,col mauricio vargas,0.08
3d infantry brigade commander colonel mauricio ernesto vargas,colonel mauricio ernesto vargas,1.00
3d infantry brigade commander colonel mauricio ernesto vargas,colonel mauricio vargas,0.08
admiral jose toribio merino,admiral jose toribio merino castro,1.00
admiral jose toribio merino castro,admiral jose toribio merino,1.00
ambassador fernandez,mrs fernandez,1.00
ambassador jesus fernandez,arboledas mayor pedro jesus hernandez,0.10
ambassador jesus fernandez,costa rican ambassador jesus fernandez,1.00
ambassador jesus fernandez,mayor pedro jesus hernandez,0.10
ambassador strook,u.s. ambassador strook,1.00
ambassador walker,mr. walker,1.00
ambassador william walker,mr ambassador william walker,1.00
ambassador william walker,mr william walker,1.00
ambassador william walker,president william walker,1.00
ambassador william walker,u.s. ambassador william walker,1.00
another fmln leader shafick handal,commander jorge shafik handal,1.00
another fmln leader shafick handal,commander shafik jorge handal,1.00
another fmln leader shafick handal,rebel commander shafik handal,1.00
anthropologist abimael guzman,founder abimael guzman,1.00
antioquia department governor antonio roldan betancur,antioquia governor antonio roldan,0.15
antioquia department governor antonio roldan betancur,antioquia governor antonio roldan betancur,1.00
antioquia governor antonio roldan,antioquia department governor antonio roldan betancur,1.00
antioquia governor antonio roldan,antioquia governor antonio roldan betancur,1.00
antioquia governor antonio roldan betancur,antioquia department governor antonio roldan betancur,1.00
antioquia governor antonio roldan betancur,antioquia governor antonio roldan,0.15
